### Energy [MeV],Low dEdx [MeV*cm2/g],High dEdx [MeV*cm2/g]
0.904,27.0456,36.0704
0.905,27.0456,36.0403
0.906,27.0456,36.0104
0.907,27.0456,35.9805
0.908,27.0456,35.9506
0.909,27.0456,35.9208
0.91,27.0456,35.891
0.911,27.0456,35.8613
0.912,27.0456,35.8316
0.913,27.0456,35.802
0.914,27.0456,35.7724
0.915,27.0456,35.7429
0.916,27.0456,35.7135
0.917,27.0456,35.684
0.918,27.0456,35.6547
0.919,27.0456,35.6253
0.92,27.0456,35.5961
0.921,27.0456,35.5668
0.922,27.0456,35.5377
0.923,27.0456,35.5085
0.924,27.0456,35.4795
0.925,27.0456,35.4504
0.926,27.0456,35.4215
0.927,27.0456,35.3925
0.928,27.0456,35.3636
0.929,27.0456,35.3348
0.93,27.0456,35.306
0.931,27.0456,35.2773
0.932,27.0456,35.2486
0.933,27.0456,35.2199
0.934,27.0456,35.1913
0.935,27.0456,35.1628
0.936,27.0456,35.1343
0.937,27.0456,35.1058
0.938,27.0456,35.0774
0.939,27.0456,35.0491
0.94,27.0456,35.0215
0.941,27.0456,34.9941
0.942,27.0456,34.9668
0.943,27.0456,34.9396
0.944,27.0456,34.9123
0.945,27.0456,34.8851
0.946,27.0456,34.858
0.947,27.0456,34.8309
0.948,27.0456,34.8039
0.949,27.0456,34.7769
0.95,27.0456,34.7499
0.951,27.0456,34.723
0.952,27.0456,34.6961
0.953,27.0456,34.6693
0.954,27.0456,34.6425
0.955,27.0456,34.6158
0.956,27.0456,34.5891
0.957,27.0456,34.5624
0.958,27.0456,34.5358
0.959,27.0456,34.5092
0.96,27.0456,34.4827
0.961,27.0456,34.4562
0.962,27.0456,34.4298
0.963,27.0456,34.4034
0.964,27.0456,34.3771
0.965,27.0456,34.3508
0.966,27.0456,34.3245
0.967,27.0456,34.2983
0.968,27.0456,34.2721
0.969,27.0456,34.246
0.97,27.0456,34.2199
0.971,27.0456,34.1938
0.972,27.0456,34.1672
0.973,27.0456,34.1407
0.974,27.0456,34.1142
0.975,27.0456,34.0877
0.976,27.0456,34.0613
0.977,27.0456,34.0349
0.978,27.0456,34.0086
0.979,27.0456,33.9823
0.98,27.0456,33.9561
0.981,27.0456,33.9299
0.982,27.0456,33.9037
0.983,27.0456,33.8776
0.984,27.0456,33.8515
0.985,27.0456,33.8255
0.986,27.0456,33.7995
0.987,27.0456,33.7735
0.988,27.0456,33.7476
0.989,27.0456,33.7218
0.99,27.0456,33.696
0.991,27.0456,33.6702
0.992,27.0456,33.6444
0.993,27.0456,33.6187
0.994,27.0456,33.5931
0.995,27.0456,33.5675
0.996,27.0456,33.5419
0.997,27.0456,33.5164
0.998,27.0456,33.4909
0.999,27.0456,33.4654
1,27.0456,33.44
1.001,27.0456,33.4146
1.002,27.0456,33.3893
1.003,27.0456,33.364
1.004,27.0456,33.3388
1.005,27.0456,33.3136
1.006,27.0456,33.2884
1.007,27.0456,33.2633
1.008,27.0456,33.2382
1.009,27.0456,33.2132
1.01,27.0456,33.1882
1.011,27.0456,33.1632
1.012,27.0456,33.1376
1.013,27.0456,33.1111
1.014,27.0456,33.0847
1.015,27.0456,33.0584
1.016,27.0456,33.032
1.017,27.0456,33.0057
1.018,27.0456,32.9795
1.019,27.0456,32.9533
1.02,27.0456,32.9272
1.021,27.0456,32.901
